run_id,lambda_acf,lambda_freq,lambda_motif,lambda_cp,lambda_per,mse,acf_dev,spec_dev
acf0p8_freq0p2_mot0p02_cp0p01_per0p02,0.8,0.2,0.02,0.01,0.02,0.226126,0.019745,5.620046
acf0p8_freq0p2_mot0p02_cp0p02_per0p01,0.8,0.2,0.02,0.02,0.01,0.21878,0.013776,5.332707
acf0p8_freq0p2_mot0p02_cp0p02_per0p02,0.8,0.2,0.02,0.02,0.02,0.237543,0.023507,5.398634
acf0p8_freq0p2_mot0p05_cp0p01_per0p01,0.8,0.2,0.05,0.01,0.01,0.176767,0.012781,5.262523
acf0p8_freq0p2_mot0p05_cp0p01_per0p02,0.8,0.2,0.05,0.01,0.02,0.469332,0.046713,6.613181
acf0p8_freq0p2_mot0p05_cp0p02_per0p01,0.8,0.2,0.05,0.02,0.01,0.158434,0.008897,4.781934
acf0p8_freq0p2_mot0p05_cp0p02_per0p02,0.8,0.2,0.05,0.02,0.02,0.203482,0.020204,5.385116
acf0p8_freq0p2_mot0p1_cp0p01_per0p01,0.8,0.2,0.1,0.01,0.01,0.292393,0.026103,6.429733
acf0p8_freq0p2_mot0p1_cp0p01_per0p02,0.8,0.2,0.1,0.01,0.02,0.229265,0.020843,5.464097
acf0p8_freq0p2_mot0p1_cp0p02_per0p01,0.8,0.2,0.1,0.02,0.01,0.186326,0.012431,5.310008
acf0p8_freq0p2_mot0p1_cp0p02_per0p02,0.8,0.2,0.1,0.02,0.02,0.155416,0.008009,4.733835
